<PAD>,0
<UNK>,1
 ,2
"
",3
",",4
e,5
1,6
i,7
0,8
.,9
a,10
o,11
n,12
的,13
t,14
2,15
s,16
r,17
l,18
),19
(,20
。,21
m,22
3,23
、,24
5,25
4,26
糖,27
A,28
病,29
d,30
c,31
-,32
C,33
P,34
h,35
血,36
T,37
g,38
6,39
L,40
p,41
D,42
7,43
u,44
8,45
G,46
性,47
9,48
素,49
尿,50
组,51
R,52
S,53
者,54
H,55
和,56
M,57
分,58
/,59
中,60
b,61
患,62
;,63
y,64
:,65
用,66
±,67
I,68
发,69
[,70
f,71
高,72
],73
在,74
有,75
体,76
与,77
对,78
为,79
细,80
F,81
胞,82
N,83
胰,84
因,85
生,86
能,87
%,88
研,89
究,90
B,91
可,92
岛,93
及,94
表,95
一,96
关,97
重,98
型,99
化,100
于,101
脂,102
显,103
相,104
O,105
是,106
平,107
后,108
疗,109
量,110
治,111
年,112
w,113
白,114
不,115
水,116
合,117
v,118
增,119
E,120
<,121
低,122
制,123
常,124
以,125
进,126
基,127
甲,128
大,129
其,130
度,131
内,132
降,133
物,134
状,135
结,136
蛋,137
明,138
心,139
应,140
管,141
学,142
现,143
作,144
时,145
等,146
并,147
肾,148
测,149
期,150
成,151
比,152
加,153
动,154
而,155
腺,156
人,157
症,158
正,159
过,160
变,161
上,162
数,163
激,164
~,165
K,166
较,167
要,168
下,169
达,170
或,171
功,172
骨,173
多,174
同,175
标,176
药,177
酸,178
异,179
指,180
例,181
示,182
代,183
前,184
率,185
检,186
抗,187
均,188
剂,189
方,190
β,191
调,192
本,193
减,194
U,195
行,196
间,197
k,198
受,199
x,200
通,201
小,202
泌,203
鼠,204
压,205
无,206
诊,207
临,208
果,209
定,210
质,211
国,212
活,213
谢,214
床,215
险,216
了,217
出,218
计,219
提,220
别,221
=,222
断,223
影,224
子,225
抑,226
导,227
肪,228
使,229
经,230
升,231
个,232
预,233
医,234
统,235
少,236
脏,237
析,238
疾,239
系,240
类,241
脉,242
二,243
清,244
腹,245
理,246
外,247
响,248
法,249
验,250
种,251
差,252
风,253
致,254
此,255
长,256
程,257
院,258
转,259
醇,260
自,261
肥,262
周,263
但,264
龄,265
酶,266
列,267
格,268
机,269
目,270
实,271
注,272
控,273
女,274
据,275
查,276
著,277
胖,278
改,279
空,280
V,281
随,282
炎,283
反,284
密,285
肝,286
效,287
全,288
W,289
照,290
也,291
值,292
科,293
胆,294
入,295
固,296
群,297
采,298
意,299
特,300
次,301
食,302
主,303
联,304
证,305
三,306
样,307
到,308
节,309
存,310
这,311
且,312
织,313
所,314
征,315
点,316
最,317
术,318
起,319
他,320
免,321
干,322
皮,323
准,324
促,325
肌,326
如,327
之,328
态,329
双,330
原,331
试,332
由,333
位,334
来,335
围,336
维,337
项,338
更,339
各,340
男,341
部,342
非,343
酮,344
新,345
具,346
综,347
危,348
未,349
损,350
单,351
+,352
义,353
会,354
感,355
总,356
展,357
强,358
复,359
产,360
见,361
疫,362
情,363
抵,364
从,365
解,366
线,367
岁,368
肽,369
氧,370
至,371
身,372
面,373
月,374
利,375
X,376
步,377
需,378
取,379
道,380
膜,381
参,382
善,383
超,384
引,385
件,386
收,387
养,388
除,389
微,390
J,391
家,392
第,393
缺,394
评,395
图,396
早,397
亡,398
呈,399
葡,400
力,401
萄,402
将,403
确,404
死,405
餐,406
推,407
儿,408
模,409
>,410
该,411
包,412
足,413
况,414
Y,415
已,416
染,417
选,418
服,419
形,420
切,421
瘤,422
两,423
限,424
肿,425
妊,426
≥,427
娠,428
张,429
处,430
还,431
孕,432
持,433
汀,434
积,435
然,436
式,437
亚,438
神,439
液,440
共,441
射,442
南,443
立,444
着,445
钙,446
级,447
严,448
每,449
球,450
慢,451
接,452
Z,453
料,454
建,455
α,456
轻,457
括,458
油,459
报,460
观,461
腰,462
得,463
估,464
些,465
饮,466
论,467
区,468
浓,469
育,470
环,471
认,472
胍,473
脑,474
象,475
肠,476
含,477
甘,478
诱,479
缓,480
保,481
敏,482
础,483
排,484
资,485
史,486
手,487
j,488
良,489
信,490
z,491
荐,492
缩,493
号,494
冠,495
亢,496
殖,497
防,498
族,499
日,500
被,501
吸,502
色,503
口,504
硬,505
回,506
近,507
地,508
“,509
当,510
美,511
公,512
述,513
司,514
则,515
路,516
移,517
即,518
依,519
×,520
氨,521
伴,522
续,523
磷,524
运,525
突,526
事,527
讨,528
酯,529
我,530
μ,531
直,532
失,533
视,534
波,535
负,536
考,537
天,538
名,539
否,540
摄,541
根,542
整,543
流,544
离,545
耐,546
核,547
健,548
尚,549
光,550
伤,551
仍,552
静,553
刺,554
仅,555
乳,556
康,557
终,558
垂,559
脲,560
逐,561
放,562
附,563
归,564
好,565
毒,566
传,567
培,568
察,569
粒,570
妇,571
议,572
老,573
冶,574
集,575
构,576
属,577
开,578
颈,579
乏,580
海,581
趋,582
监,583
识,584
凋,585
独,586
金,587
市,588
给,589
安,590
睡,591
访,592
介,593
探,594
范,595
粥,596
似,597
录,598
眼,599
规,600
布,601
护,602
予,603
键,604
们,605
四,606
癌,607
始,608
急,609
Q,610
痛,611
往,612
松,613
速,614
q,615
舒,616
向,617
文,618
源,619
首,620
稳,621
菌,622
循,623
题,624
障,625
专,626
说,627
占,628
眠,629
器,630
游,631
赖,632
拉,633
择,634
够,635
网,636
案,637
适,638
短,639
乱,640
室,641
极,642
衰,643
紊,644
胎,645
碍,646
释,647
段,648
完,649
势,650
青,651
℃,652
都,653
植,654
鲁,655
另,656
肢,657
按,658
越,659
退,660
价,661
没,662
初,663
侧,664
营,665
约,666
遗,667
筛,668
虑,669
片,670
渐,671
局,672
易,673
热,674
阳,675
仪,676
左,677
酰,678
克,679
供,680
挥,681
问,682
条,683
电,684
像,685
充,686
径,687
广,688
般,689
害,690
臀,691
延,692
巴,693
先,694
浆,695
',696
阿,697
算,698
精,699
技,700
助,701
磺,702
西,703
倍,704
软,705
优,706
层,707
造,708
疏,709
获,710
靶,711
纤,712
就,713
民,714
钠,715
童,716
*,717
骼,718
再,719
噬,720
普,721
志,722
≤,723
消,724
域,725
囊,726
交,727
黄,728
阻,729
李,730
红,731
工,732
梗,733
益,734
既,735
元,736
羟,737
何,738
禁,739
记,740
卫,741
略,742
京,743
杂,744
尤,745
酐,746
夜,747
北,748
很,749
带,750
协,751
钾,752
睾,753
旁,754
肉,755
只,756
继,757
纯,758
酒,759
曲,760
词,761
淋,762
知,763
声,764
住,765
脱,766
校,767
互,768
华,769
补,770
烟,771
绝,772
官,773
阴,774
停,775
胃,776
雌,777
教,778
配,779
晚,780
碘,781
胶,782
针,783
那,784
容,785
支,786
去,787
忆,788
卒,789
止,790
品,791
肺,792
—,793
聚,794
任,795
罗,796
头,797
塞,798
石,799
卡,800
师,801
盒,802
它,803
块,804
折,805
斑,806
奈,807
髓,808
右,809
虽,810
必,811
丙,812
”,813
竭,814
字,815
余,816
底,817
王,818
连,819
员,820
尽,821
恢,822
途,823
快,824
序,825
避,826
待,827
母,828
修,829
坏,830
佳,831
纳,832
亦,833
界,834
许,835
末,836
雷,837
泄,838
唑,839
换,840
批,841
溶,842
购,843
符,844
衡,845
峰,846
板,847
混,848
滤,849
瑞,850
陈,851
雄,852
恶,853
齐,854
巨,855
替,856
启,857
沉,858
链,859
霉,860
境,861
半,862
κ,863
若,864
厚,865
泛,866
置,867
书,868
敲,869
东,870
溃,871
乙,872
际,873
故,874
醛,875
称,876
镜,877
世,878
备,879
荧,880
泡,881
律,882
胱,883
毛,884
门,885
献,886
累,887
疡,888
幅,889
扩,890
γ,891
盐,892
语,893
深,894
映,895
典,896
夫,897
破,898
逆,899
催,900
设,901
山,902
卵,903
汁,904
施,905
叶,906
告,907
苷,908
谷,909
《,910
》,911
追,912
印,913
远,914
刘,915
紧,916
端,917
斯,918
甚,919
难,920
滴,921
简,922
吡,923
偏,924
温,925
碳,926
腔,927
瘦,928
林,929
索,930
抽,931
频,932
龙,933
便,934
息,935
留,936
省,937
膳,938
?,939
亲,940
输,941
弱,942
几,943
又,944
汉,945
荷,946
裂,947
阶,948
沙,949
尔,950
陷,951
浸,952
孔,953
居,954
鉴,955
苯,956
氮,957
贝,958
轴,959
碱,960
谱,961
润,962
哺,963
济,964
划,965
透,966
求,967
扰,968
孵,969
潜,970
杨,971
百,972
赶,973
五,974
军,975
载,976
胸,977
编,978
瞻,979
社,980
闭,981
苏,982
慰,983
迹,984
富,985
决,986
滋,987
⋯,988
顾,989
愈,990
某,991
十,992
洲,993
辅,994
喂,995
丁,996
江,997
做,998
望,999
楚,1000
命,1001
氏,1002
材,1003
凝,1004
氯,1005
英,1006
伐,1007
黏,1008
胺,1009
摘,1010
须,1011
肤,1012
殊,1013
创,1014
洗,1015
码,1016
庆,1017
婴,1018
冲,1019
春,1020
氢,1021
股,1022
措,1023
熟,1024
音,1025
觉,1026
棕,1027
德,1028
巢,1029
噻,1030
误,1031
角,1032
欧,1033
迅,1034
今,1035
晓,1036
横,1037
牛,1038
却,1039
业,1040
脯,1041
饰,1042
气,1043
呼,1044
宁,1045
判,1046
拮,1047
授,1048
窄,1049
胚,1050
冬,1051
